hubspot_id,state,viability_score,candidate_office,official_office_name,office_level,office_type,election_date,general_election_result,general_votes_received,total_general_votes_cast,is_uncontested,outreach_id,campaign_id,outreach_name,outreach_title,script,outreach_status,outreach_type,outreach_date,message,phone_list_id,audience_request,voter_file_filter_id,outreach_created_at,outreach_updated_at
39210183845,null,null,null,null,null,null,null,Lost General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39279171622,Texas,3.4200000000,Mesquite City Council - Place 5,Mesquite City Council - Place 5,CITY,City Council,2025-11-04,Won General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39518935849,Maryland,null,Baltimore City Public School Board - At Large,null,LOCAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39586588701,Alabama,null,House of Representatives ,null,null,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39624266898,South Carolina,3.7400000000,Lincolnville Town Council,Lincolnville Town Council,CITY,Town Council,2025-11-04,Won General,177.0000000000,438.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
40176850589,Iowa,2.1200000000,Cedar Falls City Council - Ward 3,Cedar Falls City Council - Ward 3,CITY,City Council,2025-11-04,Runoff,514.0000000000,1362.0000000000,null,60721,186425,null,P2P Outreach - Campaign 186425,smsElectionDay3,pending,text,2025-11-04T06:00:00.000,,null,null,85704,2025-11-01T21:23:25.530,2025-11-01T21:23:25.530
40334931569,Ohio,null,Southwest Licking Local School Board,Southwest Licking Local School Board,LOCAL,null,2025-11-04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
40560691460,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
40706859137,Iowa,3.6700000000,Hampton City Council - At Large,Hampton City Council - Ward 4,CITY,City Council,2025-11-04,Won General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
41423847976,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
41411557012,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
42264891288,Massachusetts,3.4100000000,Haverhill School Committee - Ward 5,Haverhill School Committee Ward 5,LOCAL,School Board,2025-11-04,Won General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
42708919096,New Hampshire,null,U.S. House of Representatives - New Hampshire 2nd Congressional District,null,FEDERAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
43208325662,Iowa,4.0200000000,Kimballton City Council,Kimballton City Council,CITY,null,2025-11-04,Won General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
46435457132,Virginia,null,U.S. House of Representatives - Virginia 8th Congressional District,null,FEDERAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
46910925969,North Carolina,null,Spindale Town Mayor,null,CITY,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
47318063492,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
47339116926,Florida,null,Bartram Springs Community Development District Board - Seat 2,null,LOCAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
47505984693,New York,null,Wyandanch School Board,null,LOCAL,null,2026-05-19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
48101818513,Nebraska,null,Nebraska County Court Judge - District 4 (Retain Shearer?),null,STATE,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
48747597212,Illinois,null,Maple Park Village Council,Maple Park Village Board Trustee,CITY,null,2027-04-06,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
49069960723,California,null,Capistrano Unified School Board - Area 7,null,LOCAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
49484528406,Wisconsin,null,Outagamie County Board of Supervisors - District 5,Outagamie County Board Of Supervisors - District 5,COUNTY,null,2026-04-07,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
49488237969,California,null,Beaumont-Cherry Valley Water District Board - Division 4,null,LOCAL,Other,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
49761079450,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19333628590,New Jersey,2.2800000000,Ocean City Council - Ward 4,null,CITY,City Council,2024-05-14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19587265855,Missouri,null,Quad County Fire Board,null,Local,Utilities Commissioner,2024-04-02,Lost General,3.0000000000,7.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
20530642554,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
21799650701,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
21951987215,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
22024249389,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
22065992023,Idaho,0.1200000000,Idaho House of Representatives - District 6A,null,STATE,State House,2024-11-05,Lost General,0E-10,27442.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
22073570161,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
22166407176,Alaska,1.7900000000,Alaska State Senate - District R,Gettysburg Village Council,STATE,Town Council,2024-11-05,Lost General,964.0000000000,15084.0000000000,Contested,null,null,null,null,null,null,null,null,null,null,null,null,null,null
22441662819,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
22449572471,Arizona,3.1100000000,Oro Valley Town Council,null,CITY,null,2024-11-05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
22542239246,California,1.6100000000,San Bernardino Community College District Board - Area 3,null,LOCAL,School Board,2024-11-05,Lost General,3492.0000000000,12684.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
23108723851,Minnesota,1.3500000000,Morristown City Council,null,CITY,City Council,2024-11-05,Lost General,165.0000000000,523.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
23442438684,Michigan,3.7300000000,Edwardsburg Public School Board,null,LOCAL,School Board,2024-11-05,Won General,3015.0000000000,11938.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
23468654679,Kentucky,1.6700000000,Kenton County Commission - District 2,null,COUNTY,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
26334763847,Wisconsin,4.2800000000,Burlington Area School Board,null,LOCAL,School Board,2025-04-01,Lost General,3894.0000000000,13432.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
31315657344,California,5.0000000000,Sunland-Tujunga Neighborhood Council,null,LOCAL,Town Council,2025-05-17,Won General,14.0000000000,34.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
31467048294,Pennsylvania,0.6500000000,Central York School Board,null,LOCAL,null,2025-11-04,Not on Ballot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
31595392634,Indiana,0.0800000000,U.S. House of Representatives - Indiana 9th Congressional District,null,FEDERAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
32311174722,Oregon,5.0000000000,Pendleton City Council - At Large,Intermountain Education Service District - Zone 4,CITY,Other,2026-11-03,Won General,1981.0000000000,1997.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
32338230406,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
32716272134,Texas,2.4000000000,Santa Rosa City Council - Place 2,Santa Rosa City Council - Place 2,CITY,City Council,2025-05-03,Won General,198.0000000000,316.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
32921421854,Oregon,2.4700000000,Morrow County Health District - Position 2,Morrow County Health District – Position #2,County,Other,2025-05-20,Won General,1460.0000000000,2577.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
33603196484,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
35014951949,Georgia,3.2500000000,Stone Mountain City Council - Post 6,Stone Mountain City Council - Post 6,CITY,City Council,2025-11-04,Not on Ballot,null,null,UnContested,null,null,null,null,null,null,null,null,null,null,null,null,null,null
37050115088,null,null,null,null,Local,null,null,Lost General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
37068340798,Nevada,null,Doin Tha Most Ent ,null,null,null,2025-08-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
37240525837,Kansas,1.4100000000,Wild West Extension District 18,Wild West Extension District 18,Local,Other,2025-11-04,Won General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
38145184889,Ohio,0.6800000000,Mayor  ,Mayor Of South Solon *Unexpired Term*,Local,Mayor,2025-11-04,Won General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
38232048660,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
38274153249,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
38808346249,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
38965794393,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39275313335,Connecticut,null,Windham Town Mayor,null,CITY,Mayor,2025-11-04,Won General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39419769676,New Mexico,1.0000000000,Jal Hospital Board - At Large,Jal Hospital Board - At Large,Local,Other,2025-11-04,Won General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39510941741,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
40996340367,Nebraska,null,Keith County Sheriff,null,COUNTY,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
41389487258,Georgia,1.6600000000,South Fulton City Council - District 2,South Fulton City Council - District 2,CITY,City Council,2025-11-04,Lost General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
42059627891,Iowa,2.6100000000,Swea City Council,Swea City Council,CITY,City Council,2025-11-04,Won General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
42616292924,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
43924352182,Missouri,null,Raytown C-2 School Board,null,LOCAL,null,2026-04-07,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
46581143160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
46755871790,Texas,null,U.S. Senate - Texas,null,FEDERAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
