hubspot_id,state,office_level,office_type,candidate_office,election_date,is_uncontested,viability_score,general_election_result,general_votes_received,total_general_votes_cast
33803544435,Ohio,LOCAL,Town Council,Fayette County: Union Township Trustee,2025-11-04,UnContested,3.0600000000,Won General,null,null
28935178037,Illinois,LOCAL,Town Council,St. Clair County: Sugar Loaf Township Board,2025-04-01,Contested,3.6600000000,Won General,338.0000000000,1869.0000000000
28597136726,Florida,CITY,City Council,Palm Beach Gardens City Council - Group 4,2025-03-11,Contested,2.2300000000,Won General,2711.0000000000,4900.0000000000
29131328830,Illinois,LOCAL,School Board,Community Consolidated 15 School Board,2025-04-01,Contested,3.5200000000,Lost General,5626.0000000000,33386.0000000000
30684369577,Illinois,LOCAL,Utilities Commissioner,Fremont Public Library District Board,2025-04-01,Contested,3.5800000000,Lost General,1706.0000000000,11251.0000000000
34636612444,Ohio,CITY,Town Council,Glenwillow Village Council - Ward 2,2025-11-04,UnContested,2.5900000000,Won General,10.0000000000,30.0000000000
29163172008,Illinois,Local,School Board,Sunnybrook School District 171,2025-04-01,Contested,1.2600000000,Lost General,226.0000000000,3429.0000000000
35155508779,Ohio,TOWNSHIP,Town Council,Coshocton County: White Eyes Township Trustee,2025-11-04,UnContested,3.0700000000,Won General,null,null
28870978632,Oklahoma,LOCAL,School Board,Fargo-Gage School Board - Office 1,2025-04-01,Contested,5.0000000000,Won General,null,null
34120588399,Washington,CITY,Mayor,Milton City Council - Position 2,2025-11-04,Contested,1.0300000000,Won General,null,null
34730291849,Washington,CITY,City Council,Pateros City Council - Position 2,2025-11-04,UnContested,4.9900000000,Won General,null,null
30745638967,Wisconsin,CITY,City Council,Evansville City Council - District 4,2025-04-01,UnContested,3.6100000000,Won General,null,null
30111369805,Illinois,LOCAL,School Board,Kirby 140 School Board,2025-04-01,Contested,2.8700000000,Won General,3170.0000000000,19360.0000000000
29721195562,Wisconsin,CITY,City Council,Racine City Council - District 7,2025-04-01,UnContested,5.0000000000,Won General,null,null
34695167839,Washington,LOCAL,Other,King County Public Hospital District 2 Board - Position 5,2025-11-04,Contested,2.7900000000,Won General,null,null
30770102630,Oklahoma,LOCAL,School Board,Frontier School Board,2025-04-01,Contested,1.5800000000,Lost General,22.0000000000,212.0000000000
28768333648,Illinois,LOCAL,School Board,Morris School Board 101,2025-04-01,Contested,1.2600000000,Lost General,825.0000000000,8745.0000000000
31164963399,Illinois,CITY,Clerk/Treasurer,Hometown City Clerk,2025-04-01,Contested,2.6300000000,Lost General,208.0000000000,706.0000000000
30785026891,Illinois,Local,School Board,school board,2025-04-01,Contested,2.4200000000,Won General,305.0000000000,1792.0000000000
35424553378,Washington,CITY,City Council,Snohomish City Council - Position 6,2025-11-04,Contested,0.9900000000,Won General,1309.0000000000,2380.0000000000
28103439382,Illinois,LOCAL,School Board,Edwardsville 7 School Board,2025-04-01,Contested,3.0000000000,Lost General,1927.0000000000,17227.0000000000
29992742204,Wisconsin,LOCAL,School Board,Wauwatosa School Board - Seat 7,2025-04-01,Contested,3.7400000000,Won General,10724.0000000000,19871.0000000000
29578599515,Florida,CITY,City Council,Fort Walton Beach City Council,2025-03-11,Contested,0.8800000000,Lost General,null,null
31386255435,Illinois,LOCAL,Town Council,Carroll County: Elkhorn Grove Township Supervisor,2025-04-01,UnContested,5.0000000000,Won General,null,null
31085411094,Illinois,LOCAL,School Board,North Boone 200 School Board,2025-04-01,Contested,4.3200000000,Lost General,464.0000000000,4005.0000000000
33266162957,New York,LOCAL,School Board,Rush-Henrietta School Board,2025-05-20,UnContested,5.0000000000,Won General,1989.0000000000,3696.0000000000
28187800464,Oklahoma,CITY,City Council,Bethany City Council - Ward 2,2025-04-01,UnContested,2.3000000000,Won General,null,null
35160243265,Michigan,CITY,Clerk/Treasurer,Detroit City Clerk,2025-11-04,UnContested,2.1200000000,Not on Ballot,null,null
30830060054,Illinois,LOCAL,School Board,Central 301 School Board,2025-04-01,Contested,1.0800000000,Won General,1197.0000000000,9163.0000000000
28596352163,Illinois,CITY,Town Council,East Dundee Village President,2025-04-01,UnContested,4.9900000000,Won General,445.0000000000,1378.0000000000
29394505043,Wisconsin,CITY,Town Council,Town Board,2025-04-01,Contested,3.9000000000,Won General,1139.0000000000,3667.0000000000
33753651846,Ohio,CITY,Town Council,Marblehead Village Council,2025-11-04,UnContested,3.0700000000,Won General,null,null
29641580312,Florida,CITY,Mayor,Belleair Bluffs City Mayor,2025-03-11,UnContested,4.9900000000,Won General,null,null
31415212040,Illinois,LOCAL,Other,Waynesville Library District Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
30959770019,Illinois,CITY,Town Council,Flossmoor Village Council,2025-04-01,Contested,1.3700000000,Lost General,556.0000000000,8189.0000000000
28594378548,Oklahoma,LOCAL,School Board,Coyle School Board,2025-04-01,Contested,3.5800000000,Lost General,80.0000000000,204.0000000000
31125342253,Illinois,LOCAL,Town Council,Grundy County: Highland Township Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
28315993136,Oklahoma,LOCAL,School Board,Mounds School Board,2025-04-01,UnContested,3.5800000000,Won General,null,null
29977398582,Wisconsin,CITY,City Council,Delafield City Council - District 1,2025-04-01,UnContested,5.0000000000,Won General,null,null
29550792289,Illinois,LOCAL,Town Council,Lake County: Warren Township Council,2025-04-01,UnContested,5.0000000000,Won General,null,null
31411389246,Wisconsin,CITY,Town Council,Elderon Village Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
29350269736,Wisconsin,CITY,Mayor,Lena Village President,2025-04-01,UnContested,5.0000000000,Won General,null,null
31959096678,Texas,CITY,City Council,Kermit City Council - District 1,2025-05-03,UnContested,5.0000000000,Won General,null,null
31402658390,Illinois,CITY,Mayor,Maywood Village President,2025-04-01,Contested,2.9000000000,Won General,1270.0000000000,2019.0000000000
31263086517,Illinois,LOCAL,Other,Carroll County: Wysox Township Highway Commissioner,2025-04-01,UnContested,5.0000000000,Won General,null,null
34285382928,Washington,CITY,City Council,Lynnwood City Council - Position 3,2025-11-04,Contested,1.0300000000,Won General,4266.0000000000,8147.0000000000
29292943409,Illinois,LOCAL,Clerk/Treasurer,Lake County: Zion Township Assessor,2025-04-01,UnContested,5.0000000000,Won General,null,null
27987662696,Illinois,LOCAL,School Board,Argo 217 School Board,2025-04-01,Contested,3.8700000000,Lost General,789.0000000000,4410.0000000000
33787187510,Ohio,LOCAL,Town Council,Morgan County: Center Township Trustee,2025-11-04,UnContested,3.0600000000,Won General,80.0000000000,226.0000000000
31275662152,Illinois,LOCAL,School Board,Grant Park 6 School Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
38286002027,Washington,LOCAL,School Board,Central Kitsap District 401 School Board - District 1,2025-11-04,Contested,2.8600000000,Won General,10348.0000000000,16504.0000000000
30312236086,Wisconsin,LOCAL,School Board,Fort Atkinson School Board,2025-04-01,Contested,5.0000000000,Won General,3667.0000000000,8783.0000000000
29669517471,Illinois,LOCAL,School Board,Avoca 37 School Board,2025-04-01,Contested,3.8700000000,Won General,675.0000000000,2782.0000000000
33753970768,Iowa,LOCAL,School Board,Mason City Community School Board,2025-11-04,UnContested,4.1800000000,Won General,null,null
31033781035,Illinois,CITY,Town Council,Kildeer Village Council,2025-04-01,UnContested,5.0000000000,Won General,null,null
29691986475,Illinois,LOCAL,Clerk/Treasurer,Madison County: Nameoki Township Clerk,2025-04-01,Contested,1.6800000000,Lost General,339.0000000000,827.0000000000
31205413489,Illinois,CITY,Mayor,Olympia Fields Village President,2025-04-01,Contested,2.5200000000,Lost General,575.0000000000,1327.0000000000
30726836868,Illinois,CITY,Town Council,Hampshire Village Council,2025-04-01,Contested,2.8300000000,Won General,678.0000000000,2716.0000000000
28361626215,Illinois,LOCAL,School Board,Plainfield 202 School Board,2025-04-01,Contested,2.4200000000,Won General,null,null
33887884580,Ohio,LOCAL,School Board,Jackson City School Board,2025-11-04,UnContested,2.8800000000,Won General,null,null
28244770820,Illinois,LOCAL,School Board,Darien 61 School Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
30729137557,Washington,CITY,Mayor,Sumas City Mayor,2025-11-04,UnContested,2.1200000000,Won General,null,null
34630388870,Kansas,LOCAL,School Board,"Buhler USD 313 School Board - District 2, Position 5",2025-11-04,UnContested,4.9900000000,Won General,null,null
33696853578,Ohio,LOCAL,Town Council,Meigs County: Chester Township Trustee,2025-11-04,UnContested,3.0600000000,Not on Ballot,null,null
30429619367,Illinois,Local,Utilities Commissioner,Park Board,2025-04-01,Contested,3.9200000000,Won General,12639.0000000000,71137.0000000000
33759370616,Ohio,LOCAL,Town Council,Defiance County: Delaware Township Trustee,2025-11-04,UnContested,3.0600000000,Won General,null,null
34369779119,Idaho,LOCAL,School Board,Genesee School Board - Zone 5,2025-11-04,UnContested,2.6400000000,Won General,null,null
33383140966,Kansas,LOCAL,School Board,Russell County USD 407 School Board - Position 4,2025-11-04,UnContested,3.1100000000,Won General,886.0000000000,3354.0000000000
28745012879,Illinois,LOCAL,School Board,Prairieview-Ogden Consolidated 197 School Board,2025-04-01,UnContested,3.5800000000,Won General,null,null
29345221643,Missouri,CITY,Town Council,Grantwood Village Trustee,2025-04-08,Contested,4.2900000000,Lost General,null,null
28522918296,Illinois,LOCAL,School Board,Calumet City 155 School Board,2025-04-01,Contested,1.2600000000,Won General,2629.0000000000,8987.0000000000
28683897740,Wisconsin,CITY,City Council,West Bend City Council - District 2,2025-04-01,Contested,1.8300000000,Lost General,626.0000000000,1283.0000000000
28686575985,Illinois,CITY,City Council,Wood Dale City Council - Ward 2,2025-04-01,UnContested,5.0000000000,Won General,null,null
28105993352,Illinois,LOCAL,School Board,Lake Park Community High School Board 108,2025-04-01,Contested,1.2600000000,Lost General,825.0000000000,17265.0000000000
30224274049,Wisconsin,CITY,City Council,Stevens Point City Council - District 9,2025-04-01,UnContested,5.0000000000,Won General,null,null
33754672720,Kansas,LOCAL,School Board,"Labette County USD 506 School Board - District 2, Seat 5",2025-11-04,UnContested,2.6300000000,Not on Ballot,null,null
31290444300,Texas,CITY,City Council,Fate City Council - Place 4,2025-05-03,Contested,1.0600000000,Lost General,5915.0000000000,24961.0000000000
29692188711,Illinois,CITY,Clerk/Treasurer,Thayer Village Clerk,2025-04-01,UnContested,4.9900000000,Won General,null,null
28508467876,Illinois,LOCAL,School Board,Oak Park 97 School Board,2025-04-01,Contested,1.5200000000,Lost General,1577.0000000000,24335.0000000000
31922794645,Texas,LOCAL,School Board,Llano Independent School Board - Place 2,2025-05-03,Contested,3.6000000000,Lost General,689.0000000000,1770.0000000000
30770105951,Oklahoma,LOCAL,School Board,Hodgen Elementary School Board,2025-04-01,UnContested,5.0000000000,Not on Ballot,null,null
28716209954,Oklahoma,CITY,City Council,Blackwell City Council - At Large,2025-04-01,Contested,5.0000000000,Not on Ballot,null,null
31372887305,Illinois,LOCAL,Town Council,Kankakee County: Otto Township Council,2025-04-01,UnContested,5.0000000000,Won General,null,null
28746653291,Illinois,LOCAL,School Board,Central 301 School Board,2025-04-01,Contested,3.0000000000,Lost General,874.0000000000,9163.0000000000
29523689395,Illinois,CITY,Mayor,Belleville City Mayor,2025-04-01,Contested,2.9000000000,Won General,3546.0000000000,5651.0000000000
30692295465,Illinois,LOCAL,School Board,Beecher 200U School Board,2025-04-01,UnContested,4.9900000000,Won General,392.0000000000,1255.0000000000
33843339686,Ohio,CITY,Town Council,New Washington Village Council,2025-11-04,UnContested,3.0700000000,Lost General,null,null
31518492759,Wisconsin,CITY,City Council,New London City Council - District 4,2025-04-01,Contested,3.6500000000,Won General,295.0000000000,425.0000000000
32265343142,Texas,LOCAL,School Board,Ranger Independent School Board - Place 5,2025-05-03,UnContested,5.0000000000,Won General,null,null
28746666853,Illinois,LOCAL,School Board,River Grove 85 1/2 School Board,2025-04-01,Contested,5.0000000000,Won General,299.0000000000,1414.0000000000
29977706605,Illinois,CITY,Clerk/Treasurer,Belleville City Treasurer,2025-04-01,UnContested,5.0000000000,Won General,null,null
31045356610,Illinois,Local,Town Council,Trustee,2025-04-01,UnContested,5.0000000000,Won General,null,null
28355666498,Oklahoma,LOCAL,School Board,Cement School Board,2025-04-01,Contested,2.5000000000,Won General,44.0000000000,63.0000000000
31416396204,Wisconsin,CITY,Mayor,Spring Valley Village President,2025-04-01,UnContested,4.9900000000,Won General,null,null
32316724816,Texas,CITY,Town Council,Anderson Town Council,2025-05-03,UnContested,5.0000000000,Won General,null,null
30201365618,Wisconsin,CITY,City Council,Waukesha City Council - District 1,2025-04-01,Contested,3.6500000000,Lost General,412.0000000000,1064.0000000000
33660915128,Washington,CITY,City Council,Marysville City Council - Position 3,2025-11-04,Contested,0.6100000000,Won General,7562.0000000000,12726.0000000000
29988000902,Wisconsin,LOCAL,Town Council,Racine County: Waterford Town Board,2025-04-01,Contested,3.2500000000,Lost General,1068.0000000000,4413.0000000000
31112437588,Wisconsin,LOCAL,Town Council,Portage County: Amherst Town Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
31009701132,Illinois,CITY,Mayor,Oak Forest City Mayor,2025-04-01,Contested,1.7700000000,Lost General,612.0000000000,3110.0000000000
34891297565,Pennsylvania,CITY,Other,Duncansville Borough Tax Collector,2025-11-04,UnContested,1.1600000000,Won General,null,null
31404066457,Wisconsin,Local,Town Council,Township Supervisor ,2025-04-01,UnContested,5.0000000000,Won General,null,null
30770102436,Wisconsin,CITY,City Council,Racine City Council - District 1,2025-04-01,Contested,1.6600000000,Won General,452.0000000000,737.0000000000
31295302009,Illinois,LOCAL,Town Council,Adams County: Beverly Township Council,2025-04-01,Contested,3.1100000000,Lost General,9384.0000000000,137861.0000000000
31269858898,Wisconsin,LOCAL,Town Council,Waupaca County: Lebanon Town Board - Ward 1,2025-04-01,UnContested,4.9900000000,Won General,null,null
28159551032,Illinois,LOCAL,School Board,East Peoria 86 School Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
28313833081,Oklahoma,LOCAL,School Board,Earlsboro School Board,2025-04-01,Contested,3.5800000000,Lost General,9.0000000000,91.0000000000
32739021831,Texas,CITY,City Council,Bellville City Council - Place 2,2025-05-03,UnContested,3.4200000000,Not on Ballot,null,null
28153509464,Illinois,LOCAL,School Board,Aurora West 129 School Board,2025-04-01,Contested,1.5200000000,Lost General,3173.0000000000,20167.0000000000
31456650582,Wisconsin,LOCAL,Town Council,Waupaca County: Wyoming Town Board - Ward 1,2025-04-01,UnContested,5.0000000000,Won General,null,null
32781805635,New York,LOCAL,School Board,Bolton School Board,2025-05-20,UnContested,5.0000000000,Won General,null,null
31023092375,Illinois,LOCAL,Town Council,Madison County: New Douglas Township Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
28536914062,Illinois,LOCAL,School Board,Richmond-Burton 157 School Board,2025-04-01,Contested,1.9300000000,Lost General,475.0000000000,3334.0000000000
28522916170,Oklahoma,LOCAL,School Board,Blanchard School Board,2025-04-01,Contested,2.5000000000,Lost General,403.0000000000,1208.0000000000
33792551212,Washington,LOCAL,School Board,Creston District 73 School Board - Position 5 (At Large),2025-11-04,UnContested,4.9900000000,Won General,null,null
30751940446,Illinois,LOCAL,School Board,Vermilion County: Love Township Council,2025-04-01,UnContested,2.8700000000,Won General,1101.0000000000,8617.0000000000
31390443604,Wisconsin,LOCAL,Town Council,Marathon County: Cassel Town Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
30790577457,Illinois,LOCAL,Other,Madison County: Hamel Township Highway Commissioner,2025-04-01,UnContested,4.9900000000,Won General,null,null
34130153771,Ohio,CITY,City Council,Maple Heights City Council - District 7,2025-11-04,UnContested,2.5300000000,Won General,null,null
28158781804,Illinois,LOCAL,School Board,Franklin Park 84 School Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
31061960580,Illinois,LOCAL,School Board,Schaumburg Community Consolidated 54 School Board,2025-04-01,Contested,4.3200000000,Won General,8306.0000000000,33987.0000000000
34784184445,Minnesota,LOCAL,School Board,Bloomington School Board,2025-11-04,UnContested,4.2300000000,Won General,10544.0000000000,46478.0000000000
30756692249,Illinois,LOCAL,School Board,school board,2025-04-01,UnContested,5.0000000000,Won General,null,null
33765134719,Ohio,LOCAL,Town Council,Trumbull County: Mecca Township Trustee,2025-11-04,UnContested,2.5800000000,Not on Ballot,null,null
30789134855,Illinois,LOCAL,Clerk/Treasurer,McHenry County: Greenwood Township Clerk,2025-04-01,UnContested,5.0000000000,Won General,null,null
28964601233,Tennessee,CITY,City Council,Chattanooga City Council - District 5,2025-03-04,Contested,2.0500000000,Lost General,871.0000000000,2741.0000000000
31078139136,Wisconsin,City,City Council,City council,2025-04-01,UnContested,5.0000000000,Won General,null,null
29758775065,Oklahoma,LOCAL,School Board,Yukon School Board,2025-04-01,Contested,1.5800000000,Won General,1223.0000000000,1881.0000000000
29671397491,Illinois,LOCAL,Town Council,LaSalle County: Deer Park Township Clerk,2025-04-01,UnContested,5.0000000000,Won General,null,null
29642849835,Oklahoma,CITY,City Council,Konawa City Council - At Large,2025-02-11,Contested,3.4800000000,Won General,39.0000000000,null
29670905415,Illinois,LOCAL,Town Council,Champaign County: Cunningham Township Supervisor,2025-04-01,UnContested,5.0000000000,Won General,null,null
31275142277,Wisconsin,LOCAL,Town Council,Washington County: Germantown Town Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
29724932747,Wisconsin,CITY,Mayor,Merton Village President,2025-04-01,UnContested,5.0000000000,Won General,null,null
30428224428,Illinois,LOCAL,Utilities Commissioner,Bartlett Library District Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
28919635726,Illinois,LOCAL,School Board,Orland 135 School Board,2025-04-01,Contested,0.9500000000,Lost General,3782.0000000000,43314.0000000000
30779865890,Wisconsin,Local,Town Council,Town Board,2025-04-01,Contested,3.8200000000,Won General,415.0000000000,826.0000000000
31846930850,Texas,LOCAL,School Board,Sundown Independent School Board,2025-05-03,UnContested,4.0000000000,Won General,null,null
30249887045,Illinois,LOCAL,School Board,Smithton 130 School Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
28594790285,Illinois,LOCAL,Town Council,Lake County: Lake Villa Township Council,2025-04-01,Contested,1.3400000000,Lost General,1285.0000000000,12699.0000000000
29857159286,Illinois,LOCAL,Clerk/Treasurer,St. Clair County: O'Fallon Township Clerk,2025-04-01,Contested,1.8400000000,Lost General,529.0000000000,2508.0000000000
39002564753,Michigan,CITY,City Council,Romulus City Council,2025-11-04,Contested,3.8800000000,Lost General,null,null
31196339762,Illinois,LOCAL,School Board,Central 301 School Board,2025-04-01,Contested,1.8500000000,Won General,2215.0000000000,3140.0000000000
28851914103,Illinois,LOCAL,Clerk/Treasurer,Kane County: Burlington Township Assessor,2025-04-01,UnContested,5.0000000000,Won General,null,null
31176648482,Illinois,CITY,Town Council,Shorewood Village Board,2025-04-01,UnContested,4.9900000000,Won General,null,null
29348006469,Wisconsin,LOCAL,Clerk/Treasurer,Sawyer County: Round Lake Town Chair,2025-04-01,UnContested,4.9900000000,Won General,null,null
29674544146,Illinois,LOCAL,Utilities Commissioner,Arlington Heights Village Library Board,2025-04-01,Contested,2.4900000000,Lost General,3577.0000000000,20251.0000000000
34689571196,Ohio,CITY,City Council,New Vienna City Council,2025-11-04,UnContested,1.1300000000,Won General,null,null
28643601846,South Carolina,CITY,City Council,Camden City Council At-large,2025-02-18,UnContested,5.0000000000,Won General,null,null
30278142998,Arkansas,LOCAL,School Board,Conway School Board - Zone 3,2026-05-26,UnContested,2.0500000000,Lost General,251.0000000000,5322.0000000000
30304611089,Illinois,CITY,Clerk/Treasurer,Rockton Village Clerk,2025-04-01,UnContested,5.0000000000,Won General,null,null
30957024876,Illinois,Local,Other,Fire Board,2025-04-01,UnContested,4.9900000000,Won General,null,null
34353028895,Ohio,CITY,City Council,Beach City Village Council,2025-11-04,UnContested,5.0000000000,Won General,133.0000000000,662.0000000000
29656293995,Illinois,LOCAL,School Board,Woodridge School Board 68,2025-04-01,UnContested,4.9900000000,Won General,null,null
31516073849,Wisconsin,LOCAL,School Board,Middleton-Cross Plains Area School Board - Area 3,2025-04-01,UnContested,5.0000000000,Won General,null,null
28008844400,Illinois,CITY,Town Council,Lincolnshire Village Council,2025-04-01,Contested,3.3000000000,Lost General,546.0000000000,2508.0000000000
29720412487,Illinois,LOCAL,Town Council,Madison County: New Douglas Township Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
31360528734,Wisconsin,CITY,Mayor,Birnamwood Village President,2025-04-01,UnContested,5.0000000000,Won General,null,null
37315267871,New York,TOWNSHIP,School Board,Palatine Town Highway Superintendent,2025-11-04,Contested,3.3700000000,Lost General,8635.0000000000,47773.0000000000
33155028819,Washington,LOCAL,School Board,Enumclaw District 216 School Board - District 2,2025-11-04,Contested,1.2500000000,Lost General,null,null
31433707265,Illinois,CITY,Town Council,St. Joseph Village Board,2025-04-01,Contested,2.3700000000,Lost General,176.0000000000,1285.0000000000
30445524547,Illinois,LOCAL,School Board,Minooka School Board 111,2025-04-01,Contested,2.4200000000,Lost General,797.0000000000,5937.0000000000
