candidate_id,candidate,date,race_id,race_name,candidate_party,votes,is_winner,election_type,is_uncontested,number_of_seats_in_election,total_number_of_ballots_in_race
426113,Hollie Steil,2025-11-04,412196,GA Mayor of Sky Valley,Nonpartisan,116,N,General Election,false,1,249
241449,Christopher Brandmeyer,2025-04-01,205556,"IL Damiansville School District 62 school board, At-large",Nonpartisan,uncontested,Y,General Election,true,4,uncontested
102413,Mark Weber,2025-11-04,406702,OH Mayor of Perrysburg,Nonpartisan,5944,Y,General Election,false,1,7903
104981,Charles Roberts,2025-04-01,194338,OK Town of Tipton Board of Trustees Office 1 Special,Nonpartisan,76,Y,Special Election General,false,1,114
241375,Patrick Kilmartin,2025-04-01,205533,"IL Chester-East Lincoln Community Consolidated School District 61, At-large",Nonpartisan,uncontested,Y,General Election,true,3,uncontested
223578,William Evans,2025-11-04,405116,"OH Field Local School District, At-large",Nonpartisan,uncontested,Y,General Election,true,3,uncontested
216756,Kathy Hansen,2025-04-01,187492,WI Boaz Village Trustee 2,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
324930,D.M. Collins,2025-08-26,273919,AL Center Point Mayor,Nonpartisan,310,N,General Election,false,1,1147
422145,George Shenewolf,2025-11-04,368871,NJ Lavellette Borough Council,Republican,712,Y,General Election,false,2,1968
390181,Brandy Amidon,2025-11-04,386373,SC Mayor of Travelers Rest,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
215990,Michelle Haworth,2025-04-01,187023,WI Janesville School District Board of Education At-large,Nonpartisan,7652,Y,General Election,false,3,41329
416099,Charles Bratton,2025-11-04,408714,OH Whiteoak Township Trustee Board At-large (Highland County),Nonpartisan,uncontested,Y,General Election,true,2,uncontested
383519,Erica Kruckenberg,2025-11-04,368566,KS Lindsborg Mayor,Nonpartisan,386,N,General Election,false,1,921
70757,Michael Sullivan,2025-11-04,408114,OH Union Township Trustee Board At-large (Madison County),Nonpartisan,uncontested,Y,General Election,true,2,uncontested
247938,Matthew Miller,2025-04-01,208346,IL Lake Ka-Ho Village Trustee Board At-large Special,Independent,uncontested,Y,Special Election General,true,2,uncontested
64381,Philip White,2025-11-04,404964,"OH Bath Local School District, At-large",Nonpartisan,uncontested,Y,General Election,true,2,uncontested
411599,William Wolcott Jr.,2025-11-04,406664,OH Ostrander Village Public Affairs Trustee Board At-large,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
377579,Nancy Armstrong-Montes,2025-11-04,364504,WA Nespelem School District school board  At-large 5,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
388442,Brent Edgmond,2025-11-04,385334,MT Laurel City Council Ward 2,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
217381,Mackenzie Mindel,2025-04-01,187925,WI La Crosse Common Council 8,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
430670,Travis Shelman,2025-11-04,414667,IA Mayor of Wayland,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
284663,Justin Stoner,2025-05-06,239057,MT Ennis School District Trustee,Nonpartisan,973,N,General Election,false,2,2988
438776,Christina Tatta,2025-11-04,417987,CT Wallingford Town Council,Republican,6483,Y,General Election,false,9,73751
219836,John Gutzman,2025-04-01,189922,WI Springvale Town Board Supervisor (Columbia County),Nonpartisan,96,N,General Election,false,2,451
390188,Becky Keefe,2025-11-04,386375,SC Turbeville Town Council At-large,Nonpartisan,45,Y,General Election,false,2,136
411161,Richard Gorsuch,2025-11-04,406465,OH Millville Village Council At-large,Nonpartisan,uncontested,Y,General Election,true,4,uncontested
262104,Elisa Lara,2025-04-01,216423,IL Gail Borden Public Library District Trustee Board At-large,Nonpartisan,7551,Y,General Election,false,3,28655
389553,LaDonna Brown,2025-11-04,386090,SC Mayor of Bethune,Nonpartisan,77,Y,General Election,false,1,135
184836,John Mather,2025-11-04,413787,IA Keota City Council At-large,Nonpartisan,111,Y,General Election,false,3,663
411264,Al Prince,2025-11-04,406505,OH Munroe Falls City Council At-large,Nonpartisan,441,N,General Election,false,2,2135
389277,Penelope York,2025-11-04,385958,ME Rockland City Council,Nonpartisan,uncontested,Y,General Election,true,2,uncontested
222920,Chad Rhinehart,2025-04-01,192611,WI Adams Town Board Supervisor 1 (Adams County),Nonpartisan,uncontested,Y,General Election,true,1,uncontested
288049,Hal Ferrell,2025-06-03,241498,MS Mayor (City of Batesville),Independent,939,Y,General Election,false,1,1840
379068,Nicholas Fannin,2025-11-04,365893,WA Midway Sewer District Commissioner Board Position 2,Nonpartisan,3873,Y,General Election,false,1,7641
427141,Lauren Britton,2025-11-04,412764,"IA Ogden Community School District, At-large",Nonpartisan,568,Y,General Election,false,2,1214
240118,Allyson Beuhler,2025-04-01,204809,IL Brookeridge Park District Commissioner Board At-large,Nonpartisan,uncontested,Y,General Election,true,2,uncontested
249699,Theresa Anderson,2025-04-01,209376,IL Prospect Heights City Council Ward 2 Special,Independent,221,Y,Special Election General,false,1,407
218584,Scot Lundquist,2025-04-01,188823,WI Mercer Town Board Supervisor (Iron County),Nonpartisan,513,Y,General Election,false,2,1359
388612,Patricia Berg,2025-11-04,385436,MT White Sulphur Springs City Council At-large,Nonpartisan,107,N,General Election,false,2,485
379871,Bradley Richardson,2025-11-04,366702,WA Port of Camas-Washougal District Commissioner Board 1,Nonpartisan,8001,Y,General Election,false,1,13720
248691,DeAnn Arnold,2025-04-01,208778,IL Modesto Village Clerk,People's Party,9,N,General Election,false,1,29
217637,Clint Johnson,2025-04-01,188109,WI Nashotah Village President,Nonpartisan,370,Y,General Election,false,1,630
383332,Levi Hedlund,2025-11-04,368505,KS USD 476 Copeland Board of Education,Nonpartisan,52,Y,General Election,false,3,185
422998,Mike Kondratick,2025-11-04,410948,NC Mayor of Holly Springs,Nonpartisan,5200,Y,General Election,false,1,9301
247077,Richard Pyatt,2025-04-01,207873,IL Mayor of Grand Tower,Independent,uncontested,Y,General Election,true,1,uncontested
389503,Nicole Bulman,2025-11-04,386063,"SC Spartanburg County School  school board, At-large 6",Nonpartisan,2420,Y,General Election,false,5,16401
416019,Jason Simon,2025-11-04,408677,OH Gorham Township Trustee Board At-large (Fulton County),Nonpartisan,149,N,General Election,false,2,581
220285,Sharon Noland,2025-04-01,190321,WI Browning Town Clerk (Taylor County),Nonpartisan,uncontested,Y,General Election,true,1,uncontested
272857,Russell Mobley,2025-05-03,223906,TX Cuero City Council At-large,Nonpartisan,80,N,General Election,false,2,824
248517,Raynor Campbell,2025-04-01,211985,IL Magnolia Township Supervisor (Putnam County),Independent,uncontested,Y,General Election,true,1,uncontested
250354,Shahzad Kazi,2025-04-01,209745,IL South Barrington Village Trustee Board At-large,Independent,528,Y,General Election,false,3,2918
428128,Chad Kline,2025-11-04,413303,IA Correctionville City Council At-large,Nonpartisan,47,N,General Election,false,3,339
133282,David Drake,2025-08-12,243738,UT West Point Mayor,Nonpartisan,493,Y,Primary,false,2,1911
257901,Steven Stoner,2025-04-01,214087,IL Cherry Grove-Shannon Township Trustee Board At-large (Carroll County),Independent,uncontested,Y,General Election,true,4,uncontested
291507,Alisa Langeveld,2025-08-12,243736,UT North Salt Lake City Council,Nonpartisan,1283,Y,Primary,false,4,4349
429841,Meghan Janssen,2025-11-04,414219,IA Oxford Junction City Council At-large,Nonpartisan,31,N,General Election,false,3,277
385545,Jeff Noble,2025-11-04,369297,UT Clarkston Councilmember Four Year Term,Nonpartisan,196,Y,General Election,false,2,581
223045,Daniel Nowak,2025-04-01,192711,WI Mount Morris Town Board Chairperson (Waushara County),Nonpartisan,uncontested,Y,General Election,true,1,uncontested
379838,Les Riel,2025-11-04,366668,WA Yakima County Fire  Commissioner Board Position 2 4,Nonpartisan,2112,Y,General Election,false,1,3696
430009,Curtis Hike,2025-11-04,414308,IA Mayor of Ralston,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
426180,Rhonda Lemons,2025-11-04,412234,GA Tennille City Council Post 2,Nonpartisan,uncontested,Y,General Election,true,2,uncontested
17782,Max Martinez,2025-11-04,367881,NM Upper Chama Soil and Water Conservation District Supervisor Board At-large,Nonpartisan,uncontested,Y,General Election,true,2,uncontested
426440,Alan Campbell,2025-11-04,412381,IA Eastern Iowa Community College District (EICCD) Director 2,Nonpartisan,1301,N,General Election,false,1,2780
428916,Rick Rozeboom,2025-11-04,413738,IA Inwood City Council At-large,Nonpartisan,140,Y,General Election,false,3,570
215852,Adam Witkiewicz,2025-04-01,193128,WI East Troy Community School Board,Nonpartisan,uncontested,Y,General Election,true,2,uncontested
402236,John Staford,2025-11-04,411332,NC Statesville City Council Ward 5,Nonpartisan,308,N,General Election,false,1,1056
410744,Dennis Snyder,2025-11-04,406267,OH Kirby Village Council At-large,Nonpartisan,uncontested,Y,General Election,true,4,uncontested
110495,David Simmons,2025-11-04,407658,OH York Township Trustee Board At-large (Tuscarawas County),Nonpartisan,uncontested,Y,General Election,true,2,uncontested
408417,Elishah Siegal,2025-11-04,405271,"OH Millcreek-West Unity Local School District, At-large",Nonpartisan,uncontested,Y,General Election,true,3,uncontested
330354,Mark Wilson,2025-11-04,387015,OH New Albany-Plain Local School Board,Nonpartisan,2591,Y,General Election,false,3,9146
249261,Roger Baske,2025-04-01,209123,IL Old Mill Creek Village Trustee Board At-large,Independent,uncontested,Y,General Election,true,3,uncontested
409098,Edward Weber,2025-11-04,405508,"OH Wellington Exempted Village School District, At large Special",Nonpartisan,512,N,Special Election General,false,2,2382
243422,Harsha Gurujal,2025-04-01,206100,"IL Danville Community Consolidated School District 118, At-large",Nonpartisan,31,N,General Election,false,4,996
381735,Edward Vasher,2025-11-04,367896,NM Coronado Soil and Water Conservation District Supervisor Board At-large,Nonpartisan,783,N,General Election,false,2,3417
249994,Renae Ward,2025-04-01,209557,IL Rossville Village Trustee Board At-large,Independent,61,N,General Election,false,3,507
217538,Clifftin Stanton,2025-04-01,188036,WI Melrose Village Trustee,Nonpartisan,uncontested,Y,General Election,true,3,uncontested
428652,Bryce Stevens,2025-11-04,413596,IA Grand Junction City Council At-large,Nonpartisan,119,Y,General Election,false,3,538
260255,Mary Woodruff,2025-04-01,215457,IL Putman Township Trustee Board At-large (Fulton County),Democratic,uncontested,Y,General Election,true,4,uncontested
240200,Jeff Carstens,2025-04-01,204845,IL Warrenville Fire Protection District Trustee Board At-large,Nonpartisan,1301,Y,General Election,false,1,2630
382224,Charles McClain,2025-11-04,368099,NM Dexter Municipal Court,Nonpartisan,63,Y,General Election,false,1,123
220368,Ahren Telford,2025-04-01,190395,WI Breed Town Board Supervisor (Oconto County),Nonpartisan,uncontested,Y,General Election,true,2,uncontested
285477,Craig Mallon,2025-05-20,239754,OR Wy’East Rural Fire Protection District Director,Nonpartisan,uncontested,Y,General Election,true,3,uncontested
271198,Eric Kitchell,2025-04-01,223107,OK Hartshorne School Board Office 5,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
244181,Joe Morell,2025-04-01,206318,"IL Pawnee Community Unit School District 11, At-large",Nonpartisan,327,Y,General Election,false,4,1636
223140,Trinity Hungerford,2025-04-01,192796,WI Lincoln Town Treasurer (Buffalo County),Nonpartisan,uncontested,Y,General Election,true,1,uncontested
242300,David Lombardo,2025-04-01,205791,"IL Rockton School District 140, At-large",Nonpartisan,uncontested,Y,General Election,true,4,uncontested
392174,Jeffrey Steward,2025-11-04,387258,NY Dayton Town Council Member,Republican,294,Y,General Election,false,2,758
409961,Richard Gaugh,2025-11-04,405900,OH Conneaut City Council Ward 1,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
394433,Melinda Kalogridis,2025-11-04,388310,FL Winter Haven City Council Seat 5,Nonpartisan,2159,N,General Election,false,1,4397
125472,Larry Erickson,2025-04-01,191003,WI Oma Town Board Supervisor (Iron County),Nonpartisan,uncontested,Y,General Election,true,2,uncontested
143848,Amanda Rosen,2025-03-11,110916,FL Laurel Hill City Council At-large,Nonpartisan,25,Y,General Election,false,2,69
291645,Tish Buroker,2025-11-04,369407,UT Riverton City Mayor,Nonpartisan,7687,Y,General Election,false,1,10971
176450,Keith McCormick,2025-04-01,158876,AK Anchorage Assembly District 6 - Seat J,Nonpartisan,11878,Y,General Election,false,1,13055
247059,Kayle Clover,2025-04-01,207861,IL Gorham Village Trustee Board At-large,Independent,16,Y,General Election,false,3,72
241911,Brandon Bankes,2025-04-01,205685,"IL Malden Community Consolidated School District 84, At-large",Nonpartisan,uncontested,Y,General Election,true,3,uncontested
380316,Raylon Leaks-May,2025-11-04,367558,MI Mayor of Ferndale,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
271601,Johnny Mize,2025-05-03,223321,TX Amarillo Junior College District Regents Board At-large,Nonpartisan,7433,Y,General Election,false,3,41253
284024,Noelia Longoria,2025-05-03,238619,TX La Grulla City Commission At-large,Nonpartisan,108,N,General Election,false,2,1788
102332,Jeff West,2025-11-04,367537,MI Village of Douglas City Council At-large,Nonpartisan,uncontested,Y,General Election,true,3,uncontested
410429,Melissa Hartfield,2025-11-04,406132,OH Granville Village Council At-large,Nonpartisan,1019,Y,General Election,false,3,3800
271235,Chester Tam,2025-04-01,223129,MA Dartmouth Town Health Board,Nonpartisan,440,N,General Election,false,1,2101
440057,Jason Grow,2025-11-04,418525,MA Gloucester Councilor at Large,Nonpartisan,4899,Y,General Election,false,4,22469
409667,Stephen Alspaugh,2025-11-04,405758,OH Bryan City Council Ward 4 Special,Nonpartisan,uncontested,Y,Special Election General,true,1,uncontested
382355,Martin Neave,2025-11-04,368164,NM Mayor of Lordsburg,Nonpartisan,371,Y,General Election,false,1,705
393008,Tyler Ellithorpe,2025-11-04,387642,NY Santa Clara Council Member,Independent,61,N,General Election,false,2,232
256668,Brian Hillison,2025-04-01,213378,IL Woosung Township Trustee Board At-large (Ogle County),Independent,uncontested,Y,General Election,true,4,uncontested
425296,Allen Axon,2025-11-04,411758,GA Mayor of Dearing,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
415180,Jerry Marker,2025-11-04,408301,OH Richland Township Trustee Board At-large (Darke County),Nonpartisan,uncontested,Y,General Election,true,2,uncontested
215727,Neil Kniseley,2025-04-01,186888,WI Blair-Taylor School District school board 2,Nonpartisan,uncontested,Y,General Election,true,2,uncontested
425194,Sean Alexander-Brite,2025-11-04,411696,GA Mayor of Clarkston,Nonpartisan,195,N,General Election,false,1,997
253341,James Gleason,2025-04-01,211449,IL Hurlbut Township Highway Commissioner (Logan County),Independent,uncontested,Y,General Election,true,1,uncontested
427413,Bart Heisterkamp,2025-11-04,412924,"IA West Monona Community School District, At-large",Nonpartisan,231,N,General Election,false,1,524
290167,Ty Kuehl,2025-11-04,367072,WA Tumwater School District school board Special 3,Nonpartisan,7066,Y,Special Election General,false,1,13083
425117,Thomas Bragg,2025-11-04,411649,GA Byromville City Council At-large Thomas Braggs' seat,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
285188,Lynn Smith,2025-05-20,239459,OR Position 3 Commissioner – Bear Creek Hideout #2 Road Dist.,Independent,uncontested,Y,General Election,true,1,uncontested
392833,Mustafa Abdo,2025-11-04,387567,NY Buffalo Board of Education West,Nonpartisan,891,N,General Election,false,1,4274
408846,Kate Hartung,2025-11-04,405421,"OH Southeast Local School District, At-large",Nonpartisan,773,N,General Election,false,2,3627
243381,Rob Hanlon,2025-04-01,206085,"IL Community Unit School District 200 school board, At-large",Nonpartisan,7715,Y,General Election,false,4,45664
272399,Catherine Yates,2025-05-03,223668,TX Scurry-Rosser Independent School District At-large,Nonpartisan,251,Y,General Election,false,3,1129
273246,Eric Henao,2025-05-03,224113,TX Jersey Village City Council Place 2,Nonpartisan,189,N,General Election,false,1,828
222909,Sharon Wood,2025-04-01,192600,WI Mount Hope Town Treasurer (Grant County),Nonpartisan,uncontested,Y,General Election,true,1,uncontested
260328,Shawn Milar,2025-04-01,215498,IL Middleport Township Clerk (Iroquois County),Independent,uncontested,Y,General Election,true,1,uncontested
274141,Sergio Porres,2025-06-07,241728,TX Irving City Council Place 2,Nonpartisan,5011,N,Runoff,false,1,10602
253039,Jessica Dudley,2025-04-01,211272,IL Jarvis Township Assessor (Madison County),Other,uncontested,Y,General Election,true,1,uncontested
378395,Chad Nelson,2025-11-04,365249,WA Kalama City Council Position 2,Nonpartisan,422,N,General Election,false,1,879
143983,Lisa Cove,2025-03-18,110980,NY Pittsford Mayor,Village Vision,257,N,General Election,false,1,515
325548,Larry Coggins,2025-08-26,274232,AL Luverne City Council 1,Nonpartisan,40,N,General Election,false,1,118
291348,Danise Farren,2025-08-12,243703,UT Spring Lake Town Council (4 Year),Nonpartisan,30,Y,Primary,false,4,406
218901,Kristen Richard,2025-04-01,189106,WI West Kewaunee Town Clerk (Kewaunee County),Nonpartisan,uncontested,Y,General Election,true,1,uncontested
218007,Joyce Laux,2025-04-01,188373,WI Sherwood Village President,Nonpartisan,872,Y,General Election,false,1,1503
388325,Darcia Schindler,2025-11-04,385279,MT Glasgow City Council Ward 2,Nonpartisan,120,Y,General Election,false,1,224
250570,Marco Gutierrez,2025-04-01,209866,IL Stone Park Village Trustee Board At-large,Other,uncontested,Y,General Election,true,3,uncontested
424696,Becky Decker,2025-11-04,410498,TX Point City Council Place 5,Nonpartisan,38,Y,General Election,false,1,60
425770,Rashida Taylor,2025-11-04,412025,GA Mayor of Metter,Nonpartisan,327,Y,General Election,false,1,638
283385,Jacque Rosales,2025-05-03,238311,"TX Coleman Independent School District, Place 6",Nonpartisan,509,Y,General Election,false,1,807
222311,Dick Stoegbauer,2025-04-01,192062,WI Lincoln Town Board Supervisor 3 (Vilas County),Nonpartisan,596,Y,General Election,false,1,1014
273968,Mark Heatwole,2025-05-03,224485,TX Van City Council 2,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
271019,Paloma Aguirre,2025-04-08,222966,CA San Diego County Supervisor 1,Nonpartisan,19893,N,Special Election Primary,false,1,62239
255339,Kristeen Morgan,2025-04-01,212593,IL Wilton Township Trustee Board At-large (Will County),Independent,50,N,General Election,false,4,454
255896,Brad Temple,2025-04-01,212932,IL Serena Township Trustee Board At-large (LaSalle County),Independent,uncontested,Y,General Election,true,4,uncontested
411925,Scott Armstrong,2025-11-04,406802,OH Russia Village Council At-large,Nonpartisan,136,Y,General Election,false,4,651
107855,Bill Thomas,2025-05-03,223562,TX Lone Oak Independent School District At-large,Nonpartisan,120,N,General Election,false,3,1205
241246,Cosette Espinoza,2025-04-01,205494,"IL Berkeley School District 87, At-large",Nonpartisan,uncontested,Y,General Election,true,4,uncontested
288447,A. Pohlman,2025-06-10,241742,ME Camden Rockport Schools (MASD 28) school board Camden,Nonpartisan,349,N,General Election,false,2,3268
220064,Eric Mowry,2025-04-01,190128,WI New Diggings Town Board Chairperson (Lafayette County),Nonpartisan,uncontested,Y,General Election,true,1,uncontested
262253,David Steckel,2025-04-01,216481,IL Homer Community Library Trustee Board At-large Special,Nonpartisan,uncontested,Y,Special Election General,true,2,uncontested
122501,Dan Anderson,2025-11-04,367320,WA Toledo City Council Position 2,Nonpartisan,uncontested,Y,General Election,true,1,uncontested
