hubspot_id,state,office_level,office_type,candidate_office,election_date,viability_score,general_election_result,general_votes_received,total_general_votes_cast
41687124742,Georgia,CITY,City Council,Snellville City Council - Post 5,2025-11-04,1.6600000000,Won General,null,null
39528410916,Idaho,CITY,City Council,Caldwell City Council - Seat 1,2025-11-04,0.9700000000,Lost General,null,null
35278247305,Utah,CITY,City Council,Herriman City Council - District 2,2025-11-04,1.0600000000,Won General,null,null
29917739848,Alabama,CITY,City Council,Madison City Council - District 7,2025-08-26,3.3100000000,Lost General,null,null
36628958506,Alabama,Local,City Council,Midfield City Council Place 3,2025-08-26,3.3000000000,Won General,null,null
37444777041,North Carolina,CITY,City Council,Kinston City Council,2025-11-04,3.6200000000,Won General,null,null
38331286965,Ohio,CITY,City Council,Warren City Council - Ward 5,2025-11-04,1.6900000000,Lost General,164.0000000000,918.0000000000
31866548998,Ohio,CITY,City Council,Lima City Council - Ward 1,2025-11-04,2.1200000000,Won General,null,null
29691986475,Illinois,LOCAL,Clerk/Treasurer,Madison County: Nameoki Township Clerk,2025-04-01,1.6800000000,Lost General,339.0000000000,827.0000000000
21526350664,Wisconsin,FEDERAL,Congressional,U.S. Senate - Wisconsin,2024-11-05,0.3000000000,Lost General,202.0000000000,12748.0000000000
37939095113,North Carolina,CITY,City Council,Gastonia City Council - Ward 2,2025-11-03,null,Lost General,null,null
22128315532,Alaska,COUNTY,City Council,Fairbanks North Star Borough Assembly - Seat A,2024-10-01,1.7600000000,Lost General,8141.0000000000,17670.0000000000
35160355227,Alabama,CITY,City Council,Saraland City Council - Place 1,2025-08-26,2.3100000000,Lost General,399.0000000000,2725.0000000000
30461267895,New Hampshire,Local,Other,Wilton Trustee Of Trust Funds,2025-03-11,1.2100000000,Won General,289.0000000000,289.0000000000
35800912946,Washington,LOCAL,Other,Lincoln County Fire District 3 Board - Position 1,2025-11-04,2.7900000000,Won General,null,null
38579563914,Virginia,LOCAL,null,Wythe County School Board - District 5,2025-11-04,2.3900000000,Won General,null,null
37054542740,South Carolina,CITY,null,Saint Matthews Town Council - District 5,2025-11-04,2.3900000000,Lost General,null,null
38420143922,Virginia,LOCAL,School Board,Fluvanna County School Board - Columbia,2025-11-04,2.1700000000,Won General,null,null
22675669829,District Of Columbia,CITY,City Council,District of Columbia Advisory Neighborhood Commission - District 5D01,2024-11-05,4.9900000000,Won General,1259.0000000000,1308.0000000000
38586328835,null,LOCAL,Town Council,Adams County: Liberty Township Trustee,2025-11-04,1.4900000000,Won General,null,null
32381194681,Massachusetts,CITY,Other,Brookline Town Housing Authority Board Precinct 17 - Three-year term,2026-05-05,1.9000000000,Lost General,138.0000000000,2610.0000000000
39624299941,New Jersey,LOCAL,School Board,Point Pleasant School Board,2025-11-04,2.7800000000,Won General,null,null
21948519454,Michigan,LOCAL,School Board,Chelsea School Board,2024-11-05,5.0000000000,Won General,5636.0000000000,11368.0000000000
22287699365,Virginia,LOCAL,School Board,Richmond City School Board - District 8,2024-11-05,2.5900000000,Lost General,3195.0000000000,6758.0000000000
29656285259,Oklahoma,LOCAL,School Board,Tenkiller Elementary School Board,2025-04-01,5.0000000000,Won General,null,null
23148177931,California,LOCAL,School Board,Folsom Cordova Unified School Board - Area 2,2024-11-05,2.5200000000,Lost General,3624.0000000000,7438.0000000000
22881682308,California,CITY,City Council,Hemet City Council - District 1,2024-11-05,1.5000000000,Lost General,860.0000000000,2235.0000000000
31387311525,Wisconsin,LOCAL,City Council,Sawyer County: Ojibwa Town Chair,2025-04-01,5.0000000000,Won General,null,null
31724620656,null,LOCAL,School Board,School Board,2025-04-08,2.6800000000,Lost General,206.0000000000,1693.0000000000
29810077997,Alabama,LOCAL,School Board,Tuscaloosa City School Board - District 5,2025-03-04,5.0000000000,Won General,null,null
28703045957,Illinois,CITY,City Council,Champaign City Council - District 3,2025-04-01,1.7400000000,Won General,1089.0000000000,1895.0000000000
37897693542,Ohio,CITY,Town Council,Morrow Village Council,2025-11-04,1.4900000000,Not on Ballot,null,null
22141299982,Michigan,CITY,City Council,Niles City Council - Ward 1,2024-11-05,0.9900000000,Lost General,38.0000000000,172.0000000000
37363982971,North Carolina,CITY,City Council,New Bern City Council - District 2,2025-11-04,1.8100000000,Not on Ballot,null,null
33149292710,Oregon,LOCAL,Other,Terrebonne Domestic Water District Board - Position 5,2025-05-20,5.0000000000,Won General,null,null
30680855966,Texas,CITY,City Council,New Summerfield City Council,2025-05-03,3.8100000000,Won General,null,null
22124426898,Michigan,CITY,City Council,Mason City Council,2024-11-05,2.5700000000,Lost General,1193.0000000000,12292.0000000000
32462472808,Texas,CITY,City Council,Celina City Council - Place 1,2025-05-03,1.5000000000,Lost General,883.0000000000,1905.0000000000
37337788975,South Carolina,CITY,Town Council,Pendleton Town Council - Ward 1,2025-11-04,2.2100000000,Lost General,446.0000000000,993.0000000000
36555852207,Utah,LOCAL,School Board,Aspen Peaks School Board - Seat 5,2025-11-04,1.1500000000,Lost General,null,null
36402942361,Washington,CITY,City Council,Mukilteo City Council - Position 2,2025-11-04,0.9900000000,Won General,null,null
38813184925,Massachusetts,CITY,City Council,Salem City Council - At Large,2025-11-04,3.1500000000,Won General,null,null
40830123911,New Hampshire,CITY,City Council,Dover City Select Board - Ward 2,2025-11-04,1.0500000000,Won General,null,null
22985781307,Maryland,LOCAL,School Board,Caroline County Public School Board - District 1,2024-11-05,1.8300000000,Not on Ballot,null,null
23243507510,Minnesota,CITY,Mayor,Landfall City Mayor,2024-11-05,4.1300000000,Won General,119.0000000000,214.0000000000
40587746411,New Mexico,CITY,City Council,Portales City Council - District A,2025-11-04,0.5400000000,Won General,null,null
38950608185,North Carolina,CITY,Town Council,Spring Lake Town Council,2025-11-04,2.5300000000,Lost General,null,null
40193426221,North Carolina,CITY,Town Council,Watha Town Council,2025-11-04,2.5300000000,Won General,10.0000000000,44.0000000000
30815835910,Massachusetts,CITY,Town Council,Bridgewater Town Council - At Large,2025-04-26,3.5300000000,Won General,1074.0000000000,2139.0000000000
42430413926,North Carolina,CITY,Town Council,Seven Devils Town Council,2025-11-04,null,Won General,null,null
22564326293,Pennsylvania,COUNTY,null,Philadelphia Municipal Court Judge (Retain Pew?),2025-11-04,0.5500000000,Not on Ballot,null,null
30346046353,Texas,LOCAL,School Board,Snyder Independent School Board - At Large,2025-05-03,3.3500000000,Won General,412.0000000000,1471.0000000000
28919568490,Idaho,LOCAL,null,West Ada School Board - Zone 3,2025-11-04,1.2300000000,Not on Ballot,null,null
20068393867,South Carolina,STATE,State House,South Carolina House of Representatives - District 118,2024-11-05,0.4100000000,Lost General,8721.0000000000,24758.0000000000
25174504601,Michigan,LOCAL,Town Council,Marquette County: Chocolay Township Board,2024-11-05,4.4900000000,Won General,1385.0000000000,7523.0000000000
32851063326,Ohio,LOCAL,null,Franklin County Municipal Court,2025-05-06,4.9700000000,Won General,null,null
23143196803,California,CITY,Town Council,Apple Valley Town Council - District 2,2024-11-05,1.7300000000,Lost General,1379.0000000000,6131.0000000000
35134509587,Connecticut,CITY,Mayor,Hamden Town Mayor,2025-11-04,0.3200000000,Lost General,null,null
31659478429,Missouri,LOCAL,School Board,Greenfield R-4 School Board,2025-04-08,4.2200000000,Won General,177.0000000000,437.0000000000
36425250370,Alabama,CITY,City Council,Ragland City Council - District 4,2025-08-26,1.7200000000,Won General,null,null
34896108695,Iowa,CITY,City Council,Fort Dodge City Council - At Large,2025-11-04,2.9000000000,Not on Ballot,null,null
31441338716,Wisconsin,Local,City Council,Town Chair,2025-04-01,4.9900000000,Won General,null,null
30479190584,Illinois,LOCAL,School Board,Calumet City 155 School Board,2025-04-01,1.5200000000,Won General,2416.0000000000,8987.0000000000
34741971598,Michigan,CITY,City Council,Detroit City Council - District 3,2025-11-04,2.1800000000,Not on Ballot,null,null
32388828065,Massachusetts,LOCAL,Other,Charlton Town Water and Sewer Commission,2025-05-03,4.9900000000,Won General,null,788.0000000000
34772407100,Texas,CITY,City Council,Clyde City Council,2025-11-04,3.8100000000,Won General,null,null
31125023614,Illinois,LOCAL,Town Council,Jo Daviess County: Berreman Township Council,2025-04-01,4.9900000000,Won General,null,null
36146266496,Maine,LOCAL,Other,Casco Bay Lines Board - Cliff Island,2025-11-04,2.2600000000,Won General,null,null
40839742613,Idaho,Local,Other,Council - Seat 3,2025-11-04,2.3600000000,Won General,null,null
35021438546,Washington,CITY,Mayor,Orting City Mayor,2025-11-04,0.8300000000,Lost General,null,null
31019337496,Missouri,CITY,City Council,Clarksdale City Council,2025-04-08,4.9900000000,Won General,34.0000000000,81.0000000000
38959304377,Texas,CITY,City Council,Midland City Council - District 3,2025-11-04,1.8300000000,Lost General,null,null
21598541853,Maine,STATE,State House,Maine House of Representatives - District 21,2024-11-05,0.2500000000,Lost General,485.0000000000,4090.0000000000
23462654348,Florida,LOCAL,Other,Baywinds Community Development District Board - Seat 5,2024-11-05,1.7400000000,Not on Ballot,null,null
39645532774,New Mexico,Local,Other,Caballo Soil & Water Conservation Board,2025-11-03,1.9300000000,Lost General,null,null
30632000011,Colorado,CITY,City Council,Aurora City Council - Ward 2,2025-11-04,0.6300000000,Won General,3386.0000000000,6630.0000000000
39420221309,Virginia,LOCAL,School Board,Danville City School Board - Special,2025-11-04,2.1700000000,Lost General,1312.0000000000,10720.0000000000
25286226969,Michigan,LOCAL,Clerk/Treasurer,Sanilac County: Buel Township Treasurer,2024-11-05,5.0000000000,Won General,379.0000000000,379.0000000000
22911955777,Virginia,CITY,Mayor,Jarratt Town Mayor,2024-11-05,2.3200000000,Lost General,79.0000000000,213.0000000000
22873028664,South Carolina,LOCAL,School Board,Anderson 3 County School Board - Area 2,2024-11-05,3.7100000000,Lost General,268.0000000000,1006.0000000000
40264605764,Connecticut,CITY,Mayor,Hamden Town Mayor,2025-11-04,0.3200000000,Lost General,157.0000000000,14158.0000000000
40270951842,New Jersey,LOCAL,School Board,Ocean Gate Borough School Board,2025-11-04,3.8000000000,Won General,null,null
31660570447,Missouri,LOCAL,School Board,School Board,2025-04-08,1.7700000000,Won General,238.0000000000,585.0000000000
40583571564,New Jersey,LOCAL,null,Monroe Township School Board (Gloucester County),2025-11-04,null,Not on Ballot,null,null
38553258359,Ohio,TOWNSHIP,Town Council,Geauga County: Montville Township Trustee,2025-11-04,1.4900000000,Lost General,145.0000000000,775.0000000000
23110790833,Minnesota,CITY,City Council,Currie City Council,2024-11-05,5.0000000000,Won General,83.0000000000,177.0000000000
22330953594,Kentucky,CITY,City Council,Crab Orchard City Council,2024-11-05,3.8100000000,Won General,138.0000000000,762.0000000000
21759605374,Michigan,CITY,City Council,Ecorse City Council,2024-11-05,1.8100000000,Won General,1013.0000000000,10884.0000000000
31334795144,Wisconsin,LOCAL,Town Council,Washburn County: Stinnett Town Board,2025-04-01,1.9500000000,Lost General,21.0000000000,137.0000000000
37322521223,North Carolina,CITY,Town Council,Macclesfield Town Council,2025-11-04,3.9600000000,Won General,null,null
32793923403,Oregon,LOCAL,Other,Warrenton Rural Fire Protection District Board - Position 2,2025-05-20,4.9900000000,Won General,200.0000000000,200.0000000000
25390161531,Minnesota,LOCAL,Clerk/Treasurer,Otter Tail County: Rush Lake Township Clerk,2024-11-05,5.0000000000,Won General,568.0000000000,575.0000000000
36896402838,Kansas,CITY,Mayor,Merriam City Mayor,2025-11-04,0.8100000000,Lost General,564.0000000000,2398.0000000000
38342034962,North Carolina,CITY,City Council,Lexington City Council - Ward 1,2025-11-04,3.1900000000,Won General,null,null
23883860032,Texas,CITY,City Council,"Gatesville City Council - Ward 1, Place 2",2024-11-05,4.9900000000,Won General,2627.0000000000,2627.0000000000
23081962117,Minnesota,CITY,City Council,Elmore City Council,2024-11-05,2.4100000000,Won General,121.0000000000,411.0000000000
37067190114,Oklahoma,CITY,City Council,Lawton City Council - Ward 4,2025-11-18,0.5400000000,Runoff,247.0000000000,562.0000000000
25113010468,California,LOCAL,School Board,Redding School Board,2024-11-05,3.3500000000,Lost General,223.0000000000,566.0000000000
23555460960,Virginia,CITY,Mayor,Richlands Town Mayor,2024-11-05,2.0400000000,Lost General,497.0000000000,1234.0000000000
30135139964,null,LOCAL,Other,Planning Board,2025-03-11,4.9700000000,Won General,1591.0000000000,3351.0000000000
35448083874,North Carolina,CITY,City Council,New Bern City Council - District 6,2025-11-04,2.2200000000,Lost General,null,null
23838265924,California,LOCAL,School Board,Covina-Valley Unified School Board - Area 1,2024-11-05,2.5200000000,Lost General,2596.0000000000,5250.0000000000
34915925805,Colorado,LOCAL,null,Colorado Springs School Board,2025-11-04,1.9800000000,Not on Ballot,null,null
31291475578,Oklahoma,CITY,Town Council,Mounds Town Board,2025-04-01,4.0900000000,Won General,null,null
39427264820,Georgia,CITY,Town Council,Turin Town Council,2025-11-04,2.5900000000,Won General,147.0000000000,365.0000000000
22873155383,Vermont,CITY,Judge,Hubbardton Town Justice of the Peace,2024-11-05,4.9900000000,Won General,null,null
40588677293,Iowa,CITY,City Council,Camanche City Council,2025-11-04,null,Won General,null,null
37395713316,North Carolina,CITY,Mayor,Ocean Isle Beach Town Mayor,2025-11-04,2.9400000000,Won General,null,null
38960854410,Ohio,LOCAL,School Board,Van Buren Local School Board,2025-11-04,1.3300000000,Lost General,null,null
35921785434,Washington,LOCAL,School Board,Ferndale District 502 School Board - District 4,2025-11-04,1.1700000000,Lost General,null,null
39843953701,New Jersey,LOCAL,School Board,Pine Hill Borough School Board,2025-11-04,4.1200000000,Won General,null,null
23846153010,District Of Columbia,CITY,City Council,District of Columbia Advisory Neighborhood Commission - District 2E02,2024-11-05,4.9900000000,Won General,481.0000000000,497.0000000000
33464304165,Oregon,LOCAL,Other,Keizer Rural Fire Protection District Board - Position 2,2025-05-20,5.0000000000,Won General,null,null
30770106002,Texas,CITY,Mayor,Sandy Oaks City Mayor,2024-11-05,5.0000000000,Won General,null,null
37051591989,Ohio,LOCAL,null,Lakota Local School Board (Butler County),2025-11-04,1.4100000000,Won General,null,null
42040557483,Iowa,LOCAL,School Board,Belmond-Klemme School Board - At Large,2025-11-04,null,Won General,null,null
22149260062,Alabama,CITY,Mayor,Pelham City Mayor,2025-08-26,1.4500000000,Lost General,1840.0000000000,3902.0000000000
41094735891,Iowa,CITY,Mayor,Ellsworth City Mayor,2025-11-04,1.8600000000,Won General,null,null
32736081427,null,Local,Other,Sewer Board,2025-05-20,2.9900000000,Won General,null,null
43208325662,Iowa,CITY,null,Kimballton City Council,2025-11-04,4.0200000000,Won General,null,null
36296078387,Pennsylvania,LOCAL,School Board,Clarion-Limestone Area School Board - Region 1,2025-11-04,0.5200000000,Lost General,237.0000000000,786.0000000000
38698106181,Michigan,CITY,City Council,Berkley City Council,2025-11-04,2.4100000000,Lost General,null,null
42086997386,Colorado,CITY,Mayor,Wheat Ridge City Mayor,2025-11-04,1.0100000000,Won General,null,null
40183692043,Ohio,Local,Other,City Charter Commission,2025-11-04,1.4900000000,Lost General,null,3101.0000000000
35551989784,Kansas,CITY,City Council,Winfield City Commission,2025-11-04,1.4300000000,Lost General,null,null
34512679190,Virginia,COUNTY,City Council,Falls Church City Council,2025-11-04,1.2900000000,Won General,3304.0000000000,20707.0000000000
35193755186,Michigan,CITY,City Council,Hamtramck City Council,2025-11-04,2.6800000000,Won General,null,null
35365320596,Washington,CITY,City Council,Port Angeles City Council - Position 2,2025-11-04,0.9900000000,Lost General,null,null
31042608231,Minnesota,LOCAL,Town Council,St. Louis County: Alango Township Supervisor,2025-03-11,3.8700000000,Won General,null,null
38237273424,Ohio,CITY,Mayor,Mayfield Heights City Mayor,2025-11-04,1.8600000000,Won General,null,null
35452638633,Washington,LOCAL,Other,Si View Metropolitan Park District Board - Position 2,2025-11-04,1.2700000000,Won General,null,null
37136156239,Mississippi,STATE,State Senate,Mississippi State Senate - District 24,2025-11-04,0.0700000000,Lost General,null,null
21554779303,Arizona,LOCAL,School Board,Littleton ESD 65 School Board,2024-11-05,4.9900000000,Won General,3509.0000000000,6395.0000000000
38126776407,Alabama,null,City Council,City Council ,2025-08-26,null,Lost General,40.0000000000,95.0000000000
33007379043,Oregon,LOCAL,Other,Little Muddy Creek Water Control District Board - Position 2,2025-05-20,4.9900000000,Won General,null,null
26651678491,Texas,CITY,City Council,City Council,2025-05-13,2.5600000000,Not on Ballot,null,null
32128392296,Texas,LOCAL,School Board,Haskell Consolidated Independent School Board - District 6,2025-05-03,3.6500000000,Won General,null,null
35598025264,Washington,LOCAL,Other,Douglas County Fire District 2 Board - Position 3,2025-11-04,1.2700000000,Won General,null,null
41086671449,Georgia,CITY,null,Richmond Hill City Council - Post 2,2025-11-04,null,Not on Ballot,null,null
29646075773,Tennessee,CITY,City Council,Chattanooga City Council - District 3,2025-03-04,2.4400000000,Lost General,1216.0000000000,2581.0000000000
38548980316,Minnesota,CITY,Mayor,Morgan City Mayor,2024-11-05,1.6800000000,Lost General,84.0000000000,408.0000000000
37756455584,North Carolina,CITY,Mayor,Weldon Town Mayor,2025-11-04,2.9400000000,Won General,null,null
35028292641,Ohio,LOCAL,School Board,Upper Arlington City School Board,2025-11-04,1.4100000000,Not on Ballot,null,null
21419250535,Louisiana,COUNTY,City Council,New Orleans City Council - District A,2025-11-15,4.9600000000,Not on Ballot,null,null
41713675372,Iowa,CITY,Mayor,Waterloo City Mayor,2025-11-04,2.1600000000,Lost General,null,null
38792043059,Ohio,TOWNSHIP,Town Council,Geauga County: Russell Township Trustee,2025-11-04,1.4900000000,Lost General,null,null
40606661986,Colorado,CITY,Mayor,Wheat Ridge City Mayor,2025-11-04,null,Won General,null,null
32700008730,null,CITY,Town Council,Town Meeting Board,2025-05-20,3.6000000000,Won General,303.0000000000,6804.0000000000
30312236086,Wisconsin,LOCAL,School Board,Fort Atkinson School Board,2025-04-01,5.0000000000,Won General,3667.0000000000,8783.0000000000
23333770582,California,LOCAL,School Board,Mark West Union School Board,2024-11-05,5.0000000000,Won General,null,null
33153015923,Oregon,LOCAL,Other,Grand Prairie Water Control District Board - Position 4,2025-05-20,4.9900000000,Won General,null,null
35252044447,Washington,LOCAL,Other,Douglas County Sewer District 1 Board - Position 2,2025-11-04,2.5300000000,Won General,null,null
36621117194,Alabama,CITY,City Council,Mobile City Council - District 1,2025-08-26,1.7200000000,Lost General,null,null
23753353060,Florida,CITY,Town Council,Bal Harbour Village Council - District 2,2024-11-05,1.3500000000,Lost General,607.0000000000,4477.0000000000
43024241077,New Jersey,LOCAL,null,South Brunswick Township School Board,2025-11-04,2.7800000000,Lost General,3282.0000000000,33942.0000000000
38952749217,New York,COUNTY,Town Council,Warrensburg Town Council,2025-11-04,1.9200000000,Lost General,null,null
38667601052,Virginia,County,School Board, Member School Board Horsepasture District,2025-11-04,2.1800000000,Won General,null,null
35415540138,Ohio,CITY,City Council,Middleburg Heights City Council - At Large,2025-11-04,2.6000000000,Won General,null,null
36625483869,New York,CITY,null,Brooklyn Borough President,2025-11-04,0.9800000000,Not on Ballot,null,null
38745093123,Massachusetts,Local,City Council,Upper Arlington City Council,2025-11-04,2.0200000000,Won General,null,null
30795450382,Colorado,Local,City Council,City council,2025-04-01,1.8800000000,Won General,2575.0000000000,11323.0000000000
41109897593,Virginia,null,null,all,2025-11-04,null,Not on Ballot,null,null
23046624942,Louisiana,CITY,Town Council,Sibley Town Council,2024-12-07,3.2000000000,Lost General,null,null
42278670598,Iowa,CITY,City Council,Creston City Council - Ward 5,2025-11-04,2.1200000000,Won General,null,null
35273989156,Alabama,CITY,null,Reece City Mayor,2025-08-26,1.7100000000,Won General,null,null
23182189104,Texas,COUNTY,Judge,Austin County Justice of the Peace - Precinct 2,2024-11-05,1.1600000000,Won General,2325.0000000000,4183.0000000000
23652770443,Vermont,CITY,Judge,Mendon Town Justice of the Peace,2024-11-05,5.0000000000,Won General,395.0000000000,402.0000000000
23808947575,Florida,CITY,City Council,Anna Maria City Commission,2024-11-05,5.0000000000,Won General,null,null
31252918917,Missouri,CITY,City Council,Osage Beach City Council - Ward 3,2025-04-08,3.5600000000,Lost General,67.0000000000,146.0000000000
22516831849,Indiana,LOCAL,School Board,Logansport School Board - District 3,2024-11-05,2.1100000000,Won General,2980.0000000000,9517.0000000000
40724098459,Iowa,CITY,City Council,Mount Ayr City Council,2025-11-04,2.6100000000,Lost General,null,null
39280432996,Ohio,CITY,City Council,Mayfield Heights City Council - At Large,2025-11-04,1.1300000000,Won General,null,null
34500194221,New York,CITY,City Council,Watertown City Council,2025-11-04,0.6600000000,Lost General,878.0000000000,4926.0000000000
41615610013,South Carolina,CITY,Mayor,Pelion Town Mayor,2025-11-04,null,Lost General,null,null
39580993562,New Mexico,LOCAL,Other,San Juan College Board - District 7,2025-11-04,0.6600000000,Lost General,null,null
23521384563,Wyoming,LOCAL,School Board,Fremont County 24 School Board,2024-11-05,3.2700000000,Lost General,283.0000000000,1471.0000000000
22394618444,South Carolina,null,null,President ,2025-11-05,null,Not on Ballot,null,null
30758888591,Alabama,CITY,City Council,Gulf Shores City Council - Place 5,2025-08-26,3.3100000000,Won General,null,null
22047409711,Illinois,Local,School Board,Chicago School Board District 2,2024-11-05,null,Won General,35567.0000000000,83617.0000000000
23475564428,Minnesota,CITY,Mayor,Lyle City Mayor,2024-11-05,2.3400000000,Won General,209.0000000000,263.0000000000
21649784963,Arizona,CITY,City Council,San Luis City Council,2024-11-05,2.1300000000,Won General,1004.0000000000,4336.0000000000
33163291219,Mississippi,CITY,City Council,Bay Springs City Council - Ward 4,2025-06-03,3.3800000000,Won General,115.0000000000,142.0000000000
38767863429,New Jersey,LOCAL,School Board,Moorestown Township School Board,2025-11-04,3.0100000000,Lost General,null,null
38901440669,Kansas,CITY,City Council,Clearwater City Council,2025-11-04,null,Won General,null,null
33603531886,Ohio,CITY,null,Marion City Council - Ward 6,2025-11-04,0.6000000000,Lost General,null,null
32378614853,Ohio,CITY,City Council,Middleburg Heights City Council - At Large,2025-11-04,2.1200000000,Won General,null,null
23395767626,Minnesota,LOCAL,Town Council,Traverse County: Walls Township Supervisor - Seat 3,2024-11-05,3.8700000000,Won General,36.0000000000,39.0000000000
37001136516,Ohio,LOCAL,School Board,Bethel-Tate Local School Board,2025-11-04,1.4100000000,Won General,null,null
23521690279,Minnesota,LOCAL,Town Council,Mahnomen County: Gregory Township Supervisor - Seat A,2024-11-05,3.8700000000,Won General,40.0000000000,40.0000000000
